MsgID.GLOBAL_POSITION,0.0000000,-122.3974499,37.7924811,0.1770000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,81.3370000,0.1242669,0.0002777,-0.1776359
MsgID.LOCAL_VELOCITY,81.3370000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924796,0.1780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,81.5870000,-0.0413273,0.1203028,-0.1790137
MsgID.LOCAL_VELOCITY,81.5870000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974488,37.7924794,0.1840000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,81.8370000,-0.0607373,0.1035380,-0.1849929
MsgID.LOCAL_VELOCITY,81.8370000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974497,37.7924802,0.1970000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,82.0870000,0.0392767,0.0240732,-0.1976076
MsgID.LOCAL_VELOCITY,82.0870000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974486,37.7924813,0.2110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,82.3370000,0.1521144,0.1242210,-0.2117986
MsgID.LOCAL_VELOCITY,82.3370000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974482,37.7924804,0.2240000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,82.5870000,0.0504761,0.1540369,-0.2246364
MsgID.LOCAL_VELOCITY,82.5870000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974485,37.7924799,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,82.8370000,-0.0002199,0.1231650,-0.2352778
MsgID.LOCAL_VELOCITY,82.8370000,0.0000000,0.0000000,-0.0000000
MsgID.STATE,0.0000000,False,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974500,37.7924800,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924799,0.2340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,83.0870000,-0.0002199,-0.0454717,-0.2341172
MsgID.LOCAL_VELOCITY,83.0870000,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924799,0.2210000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,83.3410000,-0.0523137,-0.5221857,-0.2212273
MsgID.LOCAL_VELOCITY,83.3410000,-0.0000490,0.0003884,-0.0021190
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924800,0.1980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0100000
MsgID.LOCAL_POSITION,83.5910000,-0.0455091,-0.3242734,-0.1986189
MsgID.LOCAL_VELOCITY,83.5910000,-0.0000188,-0.0007977,0.0130098
MsgID.GLOBAL_POSITION,0.0000000,-122.3974493,37.7924804,0.1890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.1200000
MsgID.LOCAL_POSITION,83.8410000,-0.0032164,-0.3256729,-0.1895348
MsgID.LOCAL_VELOCITY,83.8410000,0.0010043,0.0057662,-0.1284591
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974456,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924802,0.1980000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,-0.2100000
MsgID.LOCAL_POSITION,84.0910000,-0.0203445,-0.5241076,-0.1980239
MsgID.LOCAL_VELOCITY,84.0910000,0.0025439,0.0308921,-0.2182427
MsgID.GLOBAL_POSITION,0.0000000,-122.3974495,37.7924799,0.4700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0300000,-2.3200000
MsgID.LOCAL_POSITION,84.3410000,-0.0596588,-0.3406518,-0.4705503
MsgID.LOCAL_VELOCITY,84.3410000,0.0089852,0.0350127,-2.3249457
